topic,tweet_count
Other,30129
-1_investing_stockmarket_stocks_new,12005
0_trump_democrats_republicans_people,11281
3_day_music_love_life,9268
1_bitcoin_crypto_btc_cryptonews,8535
4_gaza_israel_israeli_palestine,4604
2_nba_gamblingx_prizepicks_free,4316
5_pakistan_india_indian_indiapakistanwar,3947
10_tariffs_china_trade_trump,3605
6_covid_health_vaccine_vaccines,3484
9_openai_business_machinelearning_tech,3320
19_please_donate_food_help,2881
24_click_telegram_community_join,2806
7_ukraine_russia_putin_russian,2440
8_target_btc_eth_signal,2403
14_learning_edtech_education_students,1809
16_energy_renewableenergy_solar_electricity,1801
13_cybersecurity_infosec_hacking_security,1734
12_yoy_revenue_qoq_ebitda,1687
11_health_fitness_wellness_natural,1540
15_yemen_israel_lebanon_houthis,1396
17_climate_weather_climatechange_climatecrisis,1242
18_canada_carney_canadian_alberta,1191
20_fed_inflation_powell_economy,1058
23_scam_cryptoscam_cryptorecovery_recovery,843
22_pope_leo_xiv_vatican,731
21_god_jesus_bible_jesuschrist,679
